Plant Name,Image File Name,Status,Category,Edibility,Usage,WNNC Location,Notes,Google Search Link,
Fiesta Flower,Fiesta_Flower.jpg,Native,Herb,Caution,Woodland garden; spring wildflower; velcro-like stems for climbing,,,https://www.google.com/search?q=Fiesta%20Flower%20California%20native%20plant,
Biscuitroot,Biscuitroot.jpg,Native,Herb,Edible,Roots & seeds eaten; important Indigenous food; pollinator,,,https://www.google.com/search?q=Biscuitroot%20California%20native%20plant,
Blue Larkspur,Blue_Larkspur.jpg,Native,Herb,Poisonous,Ornamental; pollinator; grassland wildflower; all parts toxic,,,https://www.google.com/search?q=Blue%20Larkspur%20California%20native%20plant,
Scarlet Larkspur,Scarlet_Larkspur.jpg,Native,Herb,Poisonous,Hummingbird plant; ornamental; chaparral garden; all parts toxic,,,https://www.google.com/search?q=Scarlet%20Larkspur%20California%20native%20plant,
Soap Plant,Soap_Plant.jpg,Native,Herb,Caution,Bulb coat as soap & brush; roasted bulb edible; fiber; medicinal,,,https://www.google.com/search?q=Soap%20Plant%20California%20native%20plant,
Paper Wild Onion,Paper_Wild_Onion.jpg,Native,Herb,Edible,Edible bulbs & leaves; Indigenous food; grassland plant,,,https://www.google.com/search?q=Paper%20Wild%20Onion%20California%20native%20plant,
Harvest Brodiaea,Harvest_Brodiaea.jpg,Native,Herb,Edible,Corms important Indigenous food; ornamental; dry garden,,,https://www.google.com/search?q=Harvest%20Brodiaea%20California%20native%20plant,
Mission Bells,Mission_Bells.jpg,Native,Herb,Poisonous,Ornamental; bulb toxic; grassland & woodland wildflower,,,https://www.google.com/search?q=Mission%20Bells%20California%20native%20plant,
Adobe Lily,Adobe_Lily.jpg,Native,Herb,Poisonous,Rare ornamental; clay soil specialist; bulb toxic,,,https://www.google.com/search?q=Adobe%20Lily%20California%20native%20plant,
Death Camas,Death_Camas.jpg,Native,Herb,Poisonous,DEADLY - important safety awareness plant; grassland hazard,,,https://www.google.com/search?q=Death%20Camas%20California%20native%20plant,
Fiddleneck,Fiddleneck.jpg,Native,Herb,Caution,Early bee forage; seeds toxic to livestock; grassland indicator,,,https://www.google.com/search?q=Fiddleneck%20California%20native%20plant,
Butter and Eggs,Butter_and_Eggs.jpg,Native,Herb,Caution,Hemiparasitic; pollinator; grassland wildflower mix,,,https://www.google.com/search?q=Butter%20and%20Eggs%20California%20native%20plant,
Rosinweed,Rosinweed.jpg,Native,Herb,Edible,Seeds edible; pollinator; summer grassland display,,,https://www.google.com/search?q=Rosinweed%20California%20native%20plant,
Hummingbird Trumpet,Hummingbird_Trumpet.jpg,Native,Shrub,Not edible,Hummingbird plant; fall garden; drought-tolerant ornamental,,,https://www.google.com/search?q=Hummingbird%20Trumpet%20California%20native%20plant,
Crimson Monkeyflower,Crimson_Monkeyflower.jpg,Native,Herb,Edible,Edible leaves; hummingbird plant; stream garden; ornamental,,,https://www.google.com/search?q=Crimson%20Monkeyflower%20California%20native%20plant,
Seep Monkeyflower,Seep_Monkeyflower.jpg,Native,Herb,Edible,Edible leaves; water garden; pollinator; stream bank stabilizer,,,https://www.google.com/search?q=Seep%20Monkeyflower%20California%20native%20plant,
Scarlet Bush Monkeyflower,Scarlet_Bush_Monkeyflower.jpg,Native,Shrub,Not edible,Hummingbird specialist; rare coastal sage endemic; ornamental,,,https://www.google.com/search?q=Scarlet%20Bush%20Monkeyflower%20California%20native%20plant,
Keckiella (Red),Keckiella.jpg,Native,Shrub,Not edible,Hummingbird plant; ornamental; chaparral climbing shrub,,,https://www.google.com/search?q=Keckiella%20%28Red%29%20California%20native%20plant,
Yellow Bush Penstemon,Yellow_Bush_Penstemon.jpg,Native,Shrub,Not edible,Ornamental; pollinator; chaparral garden,,,https://www.google.com/search?q=Yellow%20Bush%20Penstemon%20California%20native%20plant,
Apache Plume,Apache_Plume.jpg,Native,Shrub,Not edible,Ornamental feathery seed plumes; desert garden; wildlife cover,,,https://www.google.com/search?q=Apache%20Plume%20California%20native%20plant,
Cliffrose,Cliffrose.jpg,Native,Shrub,Not edible,Fragrant ornamental; deer browse; desert mountain garden,,,https://www.google.com/search?q=Cliffrose%20California%20native%20plant,
Desert Lavender,Desert_Lavender.jpg,Native,Shrub,Edible,Fragrant tea; medicinal; bee forage; desert ornamental,,,https://www.google.com/search?q=Desert%20Lavender%20California%20native%20plant,
Pearly Everlasting,Pearly_Everlasting.jpg,Native,Herb,Edible,Dried flower arrangements; medicinal; pollinator; meadow garden,,,https://www.google.com/search?q=Pearly%20Everlasting%20California%20native%20plant,
Woolly Paintbrush,Woolly_Paintbrush.jpg,Native,Herb,Caution,Hummingbird plant; ornamental; hemiparasitic; dry slope garden,,,https://www.google.com/search?q=Woolly%20Paintbrush%20California%20native%20plant,
Indian Warrior,Indian_Warrior.jpg,Native,Herb,Poisonous,Hummingbird plant; ornamental; early bloomer; hemiparasitic; toxic,,,https://www.google.com/search?q=Indian%20Warrior%20California%20native%20plant,
Sea Fig,Sea_Fig.jpg,Native,Herb,Edible,Edible tart fruit; coastal ground cover; dune stabilizer,,,https://www.google.com/search?q=Sea%20Fig%20California%20native%20plant,
Spectacle Pod,Spectacle_Pod.jpg,Native,Herb,Not edible,Desert ornamental; unique seed pods; sandy soil garden,,,https://www.google.com/search?q=Spectacle%20Pod%20California%20native%20plant,
Valley Oak,Valley_Oak.jpg,Native,Tree,Caution,Acorns as Indigenous staple (leached); timber; shade; wildlife mast,,,https://www.google.com/search?q=Valley%20Oak%20California%20native%20plant,
California Black Oak,California_Black_Oak.jpg,Native,Tree,Caution,Acorns leached for food; timber; fall color; wildlife habitat,,,https://www.google.com/search?q=California%20Black%20Oak%20California%20native%20plant,
Blue Oak,Blue_Oak.jpg,Native,Tree,Caution,Acorns leached for food; savanna habitat; drought-tolerant shade,,,https://www.google.com/search?q=Blue%20Oak%20California%20native%20plant,
California Buckeye,California_Buckeye.jpg,Native,Tree,Poisonous,Ornamental flowers; Indigenous fish stunning; shade; wildlife cover,,,https://www.google.com/search?q=California%20Buckeye%20California%20native%20plant,
Pacific Madrone,Pacific_Madrone.jpg,Native,Tree,Caution,Berries edible; wood for tools; ornamental bark; wildlife food,,,https://www.google.com/search?q=Pacific%20Madrone%20California%20native%20plant,
California Bay Laurel,California_Bay_Laurel.jpg,Native,Tree,Caution,Leaves as cooking bay; medicinal; wood for crafts; wildlife cover,,,https://www.google.com/search?q=California%20Bay%20Laurel%20California%20native%20plant,
Gray Pine,Gray_Pine.jpg,Native,Tree,Edible,Large seeds eaten; resin uses; wildlife mast tree; foothill accent,,,https://www.google.com/search?q=Gray%20Pine%20California%20native%20plant,
Coulter Pine,Coulter_Pine.jpg,Native,Tree,Edible,Large seeds edible; ornamental cones; wildlife habitat; mountain slopes,,,https://www.google.com/search?q=Coulter%20Pine%20California%20native%20plant,
Knobcone Pine,Knobcone_Pine.jpg,Native,Tree,Edible,Seeds edible; fire ecology interest; serotinous cones; wildlife,,,https://www.google.com/search?q=Knobcone%20Pine%20California%20native%20plant,
White Alder,White_Alder.jpg,Native,Tree,Not edible,Nitrogen-fixing riparian tree; dye from bark; stream bank stabilizer,,,https://www.google.com/search?q=White%20Alder%20California%20native%20plant,
Big-leaf Maple,Big_leaf_Maple.jpg,Native,Tree,Edible,Sap for syrup; seeds edible; fall color; wildlife; wood for crafts,,,https://www.google.com/search?q=Big-leaf%20Maple%20California%20native%20plant,
Pacific Dogwood,Pacific_Dogwood.jpg,Native,Tree,Not edible,Ornamental; fall color; wildlife food; understory accent tree,,,https://www.google.com/search?q=Pacific%20Dogwood%20California%20native%20plant,
California Ash,California_Ash.jpg,Native,Tree,Not edible,Riparian habitat; ornamental; wildlife food; canyon accent,,,https://www.google.com/search?q=California%20Ash%20California%20native%20plant,
Tanoak,Tanoak.jpg,Native,Tree,Caution,Acorns leached for food; tannin for leather; wildlife mast; timber,,,https://www.google.com/search?q=Tanoak%20California%20native%20plant,
Western Juniper,Western_Juniper.jpg,Native,Tree,Caution,Berries (small amounts) flavoring; wood for posts; wildlife food,,,https://www.google.com/search?q=Western%20Juniper%20California%20native%20plant,
Blue Palo Verde,Blue_Palo_Verde.jpg,Native,Tree,Edible,Seeds & flowers edible; nitrogen fixer; desert shade; hummingbird,,,https://www.google.com/search?q=Blue%20Palo%20Verde%20California%20native%20plant,
Desert Ironwood,Desert_Ironwood.jpg,Native,Tree,Edible,Seeds roasted & eaten; hardest North American wood; nurse plant,,,https://www.google.com/search?q=Desert%20Ironwood%20California%20native%20plant,
California Wild Ginger,California_Wild_Ginger.jpg,Native,Herb,Caution,Aromatic rhizome as ginger substitute; shade garden ground cover,,,https://www.google.com/search?q=California%20Wild%20Ginger%20California%20native%20plant,
Coral Bells,Coral_Bells.jpg,Native,Herb,Not edible,Ornamental; hummingbird plant; shaded rock garden; cut flower,,,https://www.google.com/search?q=Coral%20Bells%20California%20native%20plant,
Mountain Pennyroyal,Mountain_Pennyroyal.jpg,Native,Herb,Edible,Aromatic tea; medicinal; rock garden; bee forage; minty fragrance,,,https://www.google.com/search?q=Mountain%20Pennyroyal%20California%20native%20plant,
Coyote Mint,Coyote_Mint.jpg,Native,Herb,Edible,Edible minty tea; medicinal; pollinator; dry garden ornamental,,,https://www.google.com/search?q=Coyote%20Mint%20California%20native%20plant,
Purple Needlegrass,Purple_Needlegrass.jpg,Native,Grass,Edible,State grass; seeds edible; erosion control; native lawn substitute,,,https://www.google.com/search?q=Purple%20Needlegrass%20California%20native%20plant,
Deer Grass,Deer_Grass.jpg,Native,Grass,Not edible,Basket weaving; erosion control; ornamental clump; wildlife cover,,,https://www.google.com/search?q=Deer%20Grass%20California%20native%20plant,
Blue Wild Rye,Blue_Wild_Rye.jpg,Native,Grass,Edible,Seeds edible; erosion control; shade-tolerant native grass; wildlife,,,https://www.google.com/search?q=Blue%20Wild%20Rye%20California%20native%20plant,
Salt Grass,Salt_Grass.jpg,Native,Grass,Edible,Edible salty seeds; salt marsh stabilizer; alkaline soil specialist,,,https://www.google.com/search?q=Salt%20Grass%20California%20native%20plant,
California Cord Grass,California_Cord_Grass.jpg,Native,Grass,Not edible,Salt marsh stabilizer; tidal wetland; bird nesting; erosion control,,,https://www.google.com/search?q=California%20Cord%20Grass%20California%20native%20plant,
Tule,Tule.jpg,Native,Grass,Edible,Pollen & shoots edible; tule elk habitat; mat weaving; Indigenous boats,,,https://www.google.com/search?q=Tule%20California%20native%20plant,
Common Cattail,Common_Cattail.jpg,Native,Grass,Edible,Multiple edible parts; weaving; wildlife; water filtration; wetland,,,https://www.google.com/search?q=Common%20Cattail%20California%20native%20plant,
Pacific Rush,Pacific_Rush.jpg,Native,Grass,Not edible,Wetland restoration; basket weaving; wildlife cover; water filtration,,,https://www.google.com/search?q=Pacific%20Rush%20California%20native%20plant,
Meadow Barley,Meadow_Barley.jpg,Native,Grass,Edible,Seeds edible; native lawn; coastal meadow restoration; wildlife,,,https://www.google.com/search?q=Meadow%20Barley%20California%20native%20plant,
Indian Ricegrass,Indian_Ricegrass.jpg,Native,Grass,Edible,Important Indigenous grain; high protein; desert erosion control,,,https://www.google.com/search?q=Indian%20Ricegrass%20California%20native%20plant,
One-sided Bluegrass,One_sided_Bluegrass.jpg,Native,Grass,Edible,Seeds edible; widespread erosion control; dry slope restoration,,,https://www.google.com/search?q=One-sided%20Bluegrass%20California%20native%20plant,
Pacific Fescue,Pacific_Fescue.jpg,Native,Grass,Edible,Seeds edible; ornamental bunchgrass; woodland shade grass; wildlife,,,https://www.google.com/search?q=Pacific%20Fescue%20California%20native%20plant,
Slender Hairgrass,Slender_Hairgrass.jpg,Native,Grass,Edible,Seeds edible; ornamental; moist meadow restoration; streamside,,,https://www.google.com/search?q=Slender%20Hairgrass%20California%20native%20plant,
Mesa Sedge,Mesa_Sedge.jpg,Native,Grass,Not edible,Native lawn substitute; coastal meadow; erosion control; low water,,,https://www.google.com/search?q=Mesa%20Sedge%20California%20native%20plant,
Spikerush,Spikerush.jpg,Native,Grass,Edible,Rootstocks edible; vernal pool restoration; water garden; wildlife,,,https://www.google.com/search?q=Spikerush%20California%20native%20plant,
Western Sword Fern,Western_Sword_Fern.jpg,Native,Fern,Not edible,Ornamental; forest understory; fronds used in floristry; wildlife,,,https://www.google.com/search?q=Western%20Sword%20Fern%20California%20native%20plant,
Goldback Fern,Goldback_Fern.jpg,Native,Fern,Not edible,Ornamental gold-backed fronds; dry shade garden; chaparral fern,,,https://www.google.com/search?q=Goldback%20Fern%20California%20native%20plant,
California Polypody,California_Polypody.jpg,Native,Fern,Edible,Rhizomes licorice-flavored; rock garden fern; cliff face ornamental,,,https://www.google.com/search?q=California%20Polypody%20California%20native%20plant,
Five-finger Fern,Five_finger_Fern.jpg,Native,Fern,Not edible,Delicate ornamental; stream spray zones; moist rock garden,,,https://www.google.com/search?q=Five-finger%20Fern%20California%20native%20plant,
Silverback Fern,Silverback_Fern.jpg,Native,Fern,Not edible,Ornamental silver underside; dry rocky garden; chaparral fern,,,https://www.google.com/search?q=Silverback%20Fern%20California%20native%20plant,
Coffee Fern,Coffee_Fern.jpg,Native,Fern,Not edible,Drought-tolerant fern; chaparral; ornamental coffee-bean leaflets,,,https://www.google.com/search?q=Coffee%20Fern%20California%20native%20plant,
Bird's-foot Fern,Bird_s_foot_Fern.jpg,Native,Fern,Not edible,Drought-adapted fern; rock garden; desert edge ornamental,,,https://www.google.com/search?q=Bird%27s-foot%20Fern%20California%20native%20plant,
Bracken Fern,Bracken_Fern.jpg,Native,Fern,Caution,Young fronds edible in small amounts; carcinogenic if eaten often,,,https://www.google.com/search?q=Bracken%20Fern%20California%20native%20plant,
Lady Fern,Lady_Fern.jpg,Native,Fern,Not edible,Ornamental; moist forest garden; delicate texture; stream bank,,,https://www.google.com/search?q=Lady%20Fern%20California%20native%20plant,
Rock Brake,Rock_Brake.jpg,Native,Fern,Not edible,Alpine rock garden; talus slope specialist; small ornamental fern,,,https://www.google.com/search?q=Rock%20Brake%20California%20native%20plant,
California Lace Fern,California_Lace_Fern.jpg,Native,Fern,Not edible,Ornamental lacy fronds; rocky cliff garden; drought-tolerant,,,https://www.google.com/search?q=California%20Lace%20Fern%20California%20native%20plant,
Cloak Fern,Cloak_Fern.jpg,Native,Fern,Not edible,Desert rock garden; drought-adapted; scale-covered ornamental fern,,,https://www.google.com/search?q=Cloak%20Fern%20California%20native%20plant,
Horsetail,Horsetail.jpg,Native,Fern,Caution,Scouring tool (silica-rich stems); medicinal; pond edge; toxic in quantity,,,https://www.google.com/search?q=Horsetail%20California%20native%20plant,
California Spikenard,California_Spikenard.jpg,Native,Herb,Caution,Berries edible; medicinal root; dramatic foliage; moist canyon garden,,,https://www.google.com/search?q=California%20Spikenard%20California%20native%20plant,
Cow Parsnip,Cow_Parsnip.jpg,Native,Herb,Caution,Young parts edible; fiber; large-leaved accent; sap causes phototoxicity,,,https://www.google.com/search?q=Cow%20Parsnip%20California%20native%20plant,
Snowdrop Bush,Snowdrop_Bush.jpg,Native,Shrub,Not edible,Fragrant ornamental; rare foothill woodland; wildlife,,,https://www.google.com/search?q=Snowdrop%20Bush%20California%20native%20plant,
Spicebush,Spicebush.jpg,Native,Shrub,Caution,Aromatic ornamental; stream garden; bark fragrant; seeds mildly toxic,,,https://www.google.com/search?q=Spicebush%20California%20native%20plant,
Bush Anemone,Bush_Anemone.jpg,Native,Shrub,Not edible,Rare endemic ornamental; white flowers; Fresno Co. specialty,,,https://www.google.com/search?q=Bush%20Anemone%20California%20native%20plant,
Mission Manzanita,Mission_Manzanita.jpg,Native,Shrub,Edible,Berries edible; ornamental bicolor leaves; chaparral; wildlife,,,https://www.google.com/search?q=Mission%20Manzanita%20California%20native%20plant,
Bigpod Ceanothus,Bigpod_Ceanothus.jpg,Native,Shrub,Edible,Flowers for tea; nitrogen fixer; ornamental; chaparral anchor,,,https://www.google.com/search?q=Bigpod%20Ceanothus%20California%20native%20plant,
Deer Brush,Deer_Brush.jpg,Native,Shrub,Edible,Flowers for tea; nitrogen fixer; deer browse; mountain chaparral,,,https://www.google.com/search?q=Deer%20Brush%20California%20native%20plant,
Chaparral Currant,Chaparral_Currant.jpg,Native,Shrub,Caution,Berries edible tart; ornamental winter bloomer; wildlife food,,,https://www.google.com/search?q=Chaparral%20Currant%20California%20native%20plant,
Squaw Bush,Squaw_Bush.jpg,Native,Shrub,Edible,Tart berries eaten; basket weaving; dye; ornamental fall color,,,https://www.google.com/search?q=Squaw%20Bush%20California%20native%20plant,
Spiny Redberry,Spiny_Redberry.jpg,Native,Shrub,Poisonous,Wildlife food (birds); thicket habitat; chaparral structure,,,https://www.google.com/search?q=Spiny%20Redberry%20California%20native%20plant,
Hairy Yerba Santa,Hairy_Yerba_Santa.jpg,Native,Shrub,Edible,Medicinal tea; expectorant; cough remedy; aromatic ornamental,,,https://www.google.com/search?q=Hairy%20Yerba%20Santa%20California%20native%20plant,
Prickly Phlox,Prickly_Phlox.jpg,Native,Herb,Not edible,Ornamental; spring wildflower; dry rocky slope garden,,,https://www.google.com/search?q=Prickly%20Phlox%20California%20native%20plant,
Inside-out Flower,Inside_out_Flower.jpg,Native,Herb,Not edible,Ornamental; redwood forest ground cover; delicate white flowers,,,https://www.google.com/search?q=Inside-out%20Flower%20California%20native%20plant,
Coyote Tobacco,Coyote_Tobacco.jpg,Native,Herb,Poisonous,Ceremonial Indigenous use; hummingbird plant; all parts toxic,,,https://www.google.com/search?q=Coyote%20Tobacco%20California%20native%20plant,
Datura (Sacred),Datura.jpg,Native,Herb,Poisonous,Ceremonial plant; ornamental nocturnal blooms; HIGHLY toxic,,,https://www.google.com/search?q=Datura%20%28Sacred%29%20California%20native%20plant,
Catclaw Acacia,Catclaw_Acacia.jpg,Native,Shrub,Edible,Seeds edible; wildlife food; thorny barrier hedge; bee forage,,,https://www.google.com/search?q=Catclaw%20Acacia%20California%20native%20plant,
Burrobrush,Burrobrush.jpg,Native,Shrub,Not edible,Desert wash stabilizer; wildlife cover; xeriscape,,,https://www.google.com/search?q=Burrobrush%20California%20native%20plant,
Desert Broom,Desert_Broom.jpg,Native,Shrub,Not edible,Erosion control; desert revegetation; wildlife cover,,,https://www.google.com/search?q=Desert%20Broom%20California%20native%20plant,
Desert Holly,Desert_Holly.jpg,Native,Shrub,Not edible,Ornamental silver holly-like leaves; desert garden; drought garden,,,https://www.google.com/search?q=Desert%20Holly%20California%20native%20plant,
Cheesebush,Cheesebush.jpg,Native,Shrub,Not edible,Desert wash habitat; strong-smelling; wildlife cover,,,https://www.google.com/search?q=Cheesebush%20California%20native%20plant,
Goldenhead,Goldenhead.jpg,Native,Shrub,Not edible,Desert ornamental; yellow flowers; dry wash garden,,,https://www.google.com/search?q=Goldenhead%20California%20native%20plant,
Parish's Goldeneye,Parish_s_Goldeneye.jpg,Native,Shrub,Not edible,Late-season pollinator; desert ornamental; yellow daisy flowers,,,https://www.google.com/search?q=Parish%27s%20Goldeneye%20California%20native%20plant,
Desert Trumpet,Desert_Trumpet.jpg,Native,Herb,Edible,Seeds & leaves edible; unique inflated stem; desert curiosity,,,https://www.google.com/search?q=Desert%20Trumpet%20California%20native%20plant,
Silver Cholla,Silver_Cholla.jpg,Native,Cactus,Edible,Buds edible; ornamental silver spines; desert wildlife habitat,,,https://www.google.com/search?q=Silver%20Cholla%20California%20native%20plant,
Barrel Cactus (California),Barrel_Cactus.jpg,Native,Cactus,Edible,Pulp edible; fruit edible; compass plant (leans south); ornamental,,,https://www.google.com/search?q=Barrel%20Cactus%20%28California%29%20California%20native%20plant,
Buckhorn Cholla,Buckhorn_Cholla.jpg,Native,Cactus,Edible,Buds edible; bird nesting; ornamental; desert garden anchor,,,https://www.google.com/search?q=Buckhorn%20Cholla%20California%20native%20plant,
Coast Cholla,Coast_Cholla.jpg,Native,Cactus,Edible,Buds edible; coastal sage scrub; bird nesting cactus,,,https://www.google.com/search?q=Coast%20Cholla%20California%20native%20plant,
Mojave Aster,Mojave_Aster.jpg,Native,Herb,Not edible,Ornamental spring desert display; pollinator; xeriscape,,,https://www.google.com/search?q=Mojave%20Aster%20California%20native%20plant,
Desert Aster,Desert_Aster.jpg,Native,Herb,Not edible,Late-season pollinator; ornamental; desert garden,,,https://www.google.com/search?q=Desert%20Aster%20California%20native%20plant,
Spanish Bayonet,Spanish_Bayonet.jpg,Native,Shrub,Edible,Flowers edible; fiber; soap from roots; dramatic ornamental,,,https://www.google.com/search?q=Spanish%20Bayonet%20California%20native%20plant,
Shaw's Agave,Shaw_s_Agave.jpg,Native,Cactus,Edible,Roasted hearts edible; fiber; rare coastal ornamental; cultural plant,,,https://www.google.com/search?q=Shaw%27s%20Agave%20California%20native%20plant,
California Fan Palm,California_Fan_Palm.jpg,Native,Palm,Edible,Fruit edible; fronds for shelter & baskets; desert oasis anchor,,,https://www.google.com/search?q=California%20Fan%20Palm%20California%20native%20plant,
Hesper Palm,Hesper_Palm.jpg,Native,Palm,Edible,Fruit edible; ornamental; Baja border specialty; desert island,,,https://www.google.com/search?q=Hesper%20Palm%20California%20native%20plant,
Desert Senna,Desert_Senna.jpg,Native,Shrub,Caution,Medicinal laxative; ornamental yellow flowers; butterfly host,,,https://www.google.com/search?q=Desert%20Senna%20California%20native%20plant,
Cat's Claw Mimosa,Cat_s_Claw_Mimosa.jpg,Native,Shrub,Not edible,Thorny barrier; wildlife cover; desert wash stabilizer,,,https://www.google.com/search?q=Cat%27s%20Claw%20Mimosa%20California%20native%20plant,
Honey Mesquite,Honey_Mesquite.jpg,Native,Tree,Edible,Pods ground into flour; bee forage; wildlife; shade; Indigenous food,,,https://www.google.com/search?q=Honey%20Mesquite%20California%20native%20plant,
Screwbean Mesquite,Screwbean_Mesquite.jpg,Native,Tree,Edible,Spiral pods edible; Indigenous food; riparian shade; wildlife,,,https://www.google.com/search?q=Screwbean%20Mesquite%20California%20native%20plant,
Foxtail Cactus,Foxtail_Cactus.jpg,Native,Cactus,Not edible,Ornamental; unique cylindrical form; desert garden,,,https://www.google.com/search?q=Foxtail%20Cactus%20California%20native%20plant,
Sea Rocket,Sea_Rocket.jpg,Native,Herb,Edible,Spicy edible leaves; coastal annual; beach garden curiosity,,,https://www.google.com/search?q=Sea%20Rocket%20California%20native%20plant,
Sand Verbena (Yellow),Sand_Verbena.jpg,Native,Herb,Not edible,Fragrant desert dune ornamental; sandy soil specialist,,,https://www.google.com/search?q=Sand%20Verbena%20%28Yellow%29%20California%20native%20plant,
Scarlet Gilia,Scarlet_Gilia.jpg,Native,Herb,Not edible,Hummingbird plant; ornamental; dry montane garden,,,https://www.google.com/search?q=Scarlet%20Gilia%20California%20native%20plant,
Brown-eyed Evening Primrose,Brown_eyed_Evening_Primrose.jpg,Native,Herb,Edible,Edible roots; nocturnal bloomer; moth-pollinated; sandy garden,,,https://www.google.com/search?q=Brown-eyed%20Evening%20Primrose%20California%20native%20plant,
Desert Blazingstar,Desert_Blazingstar.jpg,Native,Herb,Edible,Seeds edible; nocturnal ornamental; desert rocky garden,,,https://www.google.com/search?q=Desert%20Blazingstar%20California%20native%20plant,
Tansy Phacelia,Tansy_Phacelia.jpg,Native,Herb,Caution,Bee forage; wildflower meadow; skin irritant; vivid blue blooms,,,https://www.google.com/search?q=Tansy%20Phacelia%20California%20native%20plant,
White Layia,White_Layia.jpg,Native,Herb,Not edible,Wildflower display; pollinator; sandy soil specialist,,,https://www.google.com/search?q=White%20Layia%20California%20native%20plant,
Fremont's Tidytips,Fremont_s_Tidytips.jpg,Native,Herb,Edible,Petals edible; valley wildflower display; bee forage,,,https://www.google.com/search?q=Fremont%27s%20Tidytips%20California%20native%20plant,
Canyon Clarkia,Canyon_Clarkia.jpg,Native,Herb,Edible,Petals edible; shaded canyon garden; ornamental annual,,,https://www.google.com/search?q=Canyon%20Clarkia%20California%20native%20plant,
Winecup Clarkia,Winecup_Clarkia.jpg,Native,Herb,Edible,Petals edible; wildflower meadow; pollinator,,,https://www.google.com/search?q=Winecup%20Clarkia%20California%20native%20plant,
Elegant Clarkia,Elegant_Clarkia.jpg,Native,Herb,Edible,Petals edible; shade-tolerant wildflower; ornamental annual,,,https://www.google.com/search?q=Elegant%20Clarkia%20California%20native%20plant,
Farewell-to-Spring (Red),Farewell_to_Spring.jpg,Native,Herb,Edible,Petals edible; coastal wildflower; late-season display,,,https://www.google.com/search?q=Farewell-to-Spring%20%28Red%29%20California%20native%20plant,
Hillside Pea,Hillside_Pea.jpg,Native,Herb,Caution,Climbing wildflower; pollinator; chaparral edge; seeds mildly toxic,,,https://www.google.com/search?q=Hillside%20Pea%20California%20native%20plant,
Pacific Pea,Pacific_Pea.jpg,Native,Herb,Caution,Coastal dune stabilizer; silver ornamental; seeds mildly toxic,,,https://www.google.com/search?q=Pacific%20Pea%20California%20native%20plant,
Broad-leaf Lupine,Broad_leaf_Lupine.jpg,Native,Herb,Poisonous,Nitrogen fixer; ornamental; mountain meadow; seeds toxic,,,https://www.google.com/search?q=Broad-leaf%20Lupine%20California%20native%20plant,
Deer Clover,Deer_Clover.jpg,Native,Herb,Edible,Young leaves edible; deer forage; moist grassland restoration,,,https://www.google.com/search?q=Deer%20Clover%20California%20native%20plant,
Purple Owl's Clover,Purple_Owl_s_Clover.jpg,Native,Herb,Caution,Wildflower display; hemiparasitic; pollinator,,,https://www.google.com/search?q=Purple%20Owl%27s%20Clover%20California%20native%20plant,
Parish's Poppy,Parish_s_Poppy.jpg,Native,Herb,Caution,Desert mountain ornamental; rare spring annual; poppy relative,,,https://www.google.com/search?q=Parish%27s%20Poppy%20California%20native%20plant,
Parish's Phacelia,Parish_s_Phacelia.jpg,Native,Herb,Caution,Bee forage; desert wildflower; skin irritant,,,https://www.google.com/search?q=Parish%27s%20Phacelia%20California%20native%20plant,
Woolly Phacelia,Woolly_Phacelia.jpg,Native,Herb,Caution,Bee forage; wildflower display; skin irritant; soft woolly texture,,,https://www.google.com/search?q=Woolly%20Phacelia%20California%20native%20plant,
Caterpillar Phacelia,Caterpillar_Phacelia.jpg,Native,Herb,Caution,Bee forage; coiled flower clusters; wildflower mix; skin irritant,,,https://www.google.com/search?q=Caterpillar%20Phacelia%20California%20native%20plant,
Scarlet Pimpernel,Scarlet_Pimpernel.jpg,Non-native,Herb,Poisonous,Toxic weed; weather-predicting flowers (close when cloudy),,,https://www.google.com/search?q=Scarlet%20Pimpernel%20California%20native%20plant,
Wild Mustard,Wild_Mustard.jpg,Non-native,Herb,Edible,Edible greens & seeds; invasive; fire hazard; bee forage,,,https://www.google.com/search?q=Wild%20Mustard%20California%20native%20plant,
Red-stem Filaree,Red_stem_Filaree.jpg,Non-native,Herb,Edible,Edible leaves; early bee forage; spiraling seed corkscrew dispersal,,,https://www.google.com/search?q=Red-stem%20Filaree%20California%20native%20plant,
White-stem Filaree,White_stem_Filaree.jpg,Non-native,Herb,Edible,Edible leaves; early bee forage; drought-adapted weed,,,https://www.google.com/search?q=White-stem%20Filaree%20California%20native%20plant,
Foxtail Barley,Foxtail_Barley.jpg,Non-native,Grass,Caution,Barbed awns injure pets; weed; limited wildlife value,,,https://www.google.com/search?q=Foxtail%20Barley%20California%20native%20plant,
Wild Oats,Wild_Oats.jpg,Non-native,Grass,Edible,Seeds edible; invasive grassland weed; fire hazard; bee forage,,,https://www.google.com/search?q=Wild%20Oats%20California%20native%20plant,
Ripgut Brome,Ripgut_Brome.jpg,Non-native,Grass,Caution,Invasive; awns injure livestock; fire fuel; displaces natives,,,https://www.google.com/search?q=Ripgut%20Brome%20California%20native%20plant,
Cheatgrass,Cheatgrass.jpg,Non-native,Grass,Caution,Highly invasive; increases wildfire frequency; displaces natives,,,https://www.google.com/search?q=Cheatgrass%20California%20native%20plant,
