Plant Name,Status,Category,Edibility,Usage,WNNC Location,Notes,,,,
Sea Rocket,Native,Herb,Edible,Spicy edible leaves; coastal annual; beach garden curiosity,,,,,,
Sand Verbena (Yellow),Native,Herb,Not edible,Fragrant desert dune ornamental; sandy soil specialist,,,,,,
Scarlet Gilia,Native,Herb,Not edible,Hummingbird plant; ornamental; dry montane garden,,,,,,
Brown-eyed Evening Primrose,Native,Herb,Edible,Edible roots; nocturnal bloomer; moth-pollinated; sandy garden,,,,,,
Desert Blazingstar,Native,Herb,Edible,Seeds edible; nocturnal ornamental; desert rocky garden,,,,,,
Tansy Phacelia,Native,Herb,Caution,Bee forage; wildflower meadow; skin irritant; vivid blue blooms,,,,,,
White Layia,Native,Herb,Not edible,Wildflower display; pollinator; sandy soil specialist,,,,,,
Fremont's Tidytips,Native,Herb,Edible,Petals edible; valley wildflower display; bee forage,,,,,,
Canyon Clarkia,Native,Herb,Edible,Petals edible; shaded canyon garden; ornamental annual,,,,,,
Winecup Clarkia,Native,Herb,Edible,Petals edible; wildflower meadow; pollinator,,,,,,
Elegant Clarkia,Native,Herb,Edible,Petals edible; shade-tolerant wildflower; ornamental annual,,,,,,
Farewell-to-Spring (Red),Native,Herb,Edible,Petals edible; coastal wildflower; late-season display,,,,,,
Hillside Pea,Native,Herb,Caution,Climbing wildflower; pollinator; chaparral edge; seeds mildly toxic,,,,,,
Pacific Pea,Native,Herb,Caution,Coastal dune stabilizer; silver ornamental; seeds mildly toxic,,,,,,
Broad-leaf Lupine,Native,Herb,Poisonous,Nitrogen fixer; ornamental; mountain meadow; seeds toxic,,,,,,
Deer Clover,Native,Herb,Edible,Young leaves edible; deer forage; moist grassland restoration,,,,,,
Purple Owl's Clover,Native,Herb,Caution,Wildflower display; hemiparasitic; pollinator,,,,,,
Parish's Poppy,Native,Herb,Caution,Desert mountain ornamental; rare spring annual; poppy relative,,,,,,
Parish's Phacelia,Native,Herb,Caution,Bee forage; desert wildflower; skin irritant,,,,,,
Woolly Phacelia,Native,Herb,Caution,Bee forage; wildflower display; skin irritant; soft woolly texture,,,,,,
Caterpillar Phacelia,Native,Herb,Caution,Bee forage; coiled flower clusters; wildflower mix; skin irritant,,,,,,
Scarlet Pimpernel,Non-native,Herb,Poisonous,Toxic weed; weather-predicting flowers (close when cloudy),,,,,,
Wild Mustard,Non-native,Herb,Edible,Edible greens & seeds; invasive; fire hazard; bee forage,,,,,,
Red-stem Filaree,Non-native,Herb,Edible,Edible leaves; early bee forage; spiraling seed corkscrew dispersal,,,,,,
White-stem Filaree,Non-native,Herb,Edible,Edible leaves; early bee forage; drought-adapted weed,,,,,,
Foxtail Barley,Non-native,Grass,Caution,Barbed awns injure pets; weed; limited wildlife value,,,,,,
Wild Oats,Non-native,Grass,Edible,Seeds edible; invasive grassland weed; fire hazard; bee forage,,,,,,
Ripgut Brome,Non-native,Grass,Caution,Invasive; awns injure livestock; fire fuel; displaces natives,,,,,,
Cheatgrass,Non-native,Grass,Caution,Highly invasive; increases wildfire frequency; displaces natives,,,,,,
Italian Ryegrass,Non-native,Grass,Not edible,Invasive turf weed; displaces native grasses; fire fuel,,,,,,
Annual Bluegrass,Non-native,Grass,Not edible,Lawn & turf weed; displaces natives; early spring grower,,,,,,
Bermuda Grass,Non-native,Grass,Not edible,Invasive lawn weed; drought tolerant; sports turf; hard to remove,,,,,,
Kikuyu Grass,Non-native,Grass,Not edible,Aggressive invasive; smothers natives; hard to control,,,,,,
Hottentot Fig (Ice Plant),Non-native,Herb,Edible,Edible tart fruit; invasive dune cover; smothers native plants,,,,,,
Freeway Ice Plant,Non-native,Herb,Not edible,Invasive; used for erosion control; smothers native plants,,,,,,
Cape Ivy,Non-native,Vine,Poisonous,Highly invasive; smothers trees; toxic; hard to control,,,,,,
English Ivy,Non-native,Vine,Poisonous,Invasive shade ground cover; toxic berries; smothers understory,,,,,,
Pampas Grass,Non-native,Grass,Not edible,Highly invasive; fire hazard; large ornamental; hard to eradicate,,,,,,
Giant Reed,Non-native,Grass,Not edible,Highly invasive riparian weed; fire hazard; displaces willows,,,,,,
Tamarisk (Saltcedar),Non-native,Tree,Not edible,Invasive riparian; salt accumulation; displaces natives; fire fuel,,,,,,
Tree of Heaven,Non-native,Tree,Poisonous,Invasive urban weed tree; allelopathic; Spotted Lanternfly host,,,,,,
Eucalyptus (Blue Gum),Non-native,Tree,Not edible,Invasive; fire hazard; Monarch butterfly roost; medicinal oil,,,,,,
Eucalyptus (Lemon),Non-native,Tree,Not edible,Invasive; insect repellent oil; ornamental; fire hazard,,,,,,
Periwinkle,Non-native,Herb,Poisonous,Invasive ground cover; toxic; medicinal alkaloids; shade garden,,,,,,
Common Fennel,Non-native,Herb,Edible,Edible all parts; anise flavor; invasive; swallowtail butterfly host,,,,,,
Wild Artichoke Thistle,Non-native,Herb,Edible,Edible hearts & stalks; invasive; sharp spines; fire hazard,,,,,,
Yellow Star Thistle,Non-native,Herb,Caution,Invasive; causes horse brain disease; bee forage for honey,,,,,,
Bull Thistle,Non-native,Herb,Edible,Edible roots & stems; invasive; goldfinch seed source,,,,,,
Milk Thistle,Non-native,Herb,Edible,Edible greens & seeds; medicinal (liver supplement); invasive,,,,,,
Russian Thistle (Tumbleweed),Non-native,Herb,Edible,Young shoots edible; iconic tumbleweed; fire hazard; invasive,,,,,,
London Rocket,Non-native,Herb,Edible,Edible peppery leaves; invasive winter annual; bee forage,,,,,,
Shepherd's Purse,Non-native,Herb,Edible,Edible greens & seeds; medicinal; common urban weed,,,,,,
Hairy Bittercress,Non-native,Herb,Edible,Edible peppery leaves; explosive seed dispersal; common weed,,,,,,
Common Chickweed,Non-native,Herb,Edible,Edible tender greens; medicinal; early bee forage; common weed,,,,,,
Lamb's Quarters,Non-native,Herb,Edible,Nutritious edible greens; seeds edible; common garden weed,,,,,,
Common Purslane,Non-native,Herb,Edible,Nutritious edible (omega-3); medicinal; succulent weed; worldwide,,,,,,
Pigweed (Redroot),Non-native,Herb,Edible,Edible leaves & seeds; high protein; nutritious weed,,,,,,
Common Mallow,Non-native,Herb,Edible,"Edible leaves, flowers & seeds; mucilaginous; medicinal; weed",,,,,,
Cheeseweed Mallow,Non-native,Herb,Edible,Edible young leaves; cheese-shaped seeds edible; urban weed,,,,,,
Curly Dock,Non-native,Herb,Caution,Young leaves edible (tart); seeds edible; medicinal; high oxalates,,,,,,
Broad-leaf Dock,Non-native,Herb,Caution,Young leaves edible; medicinal; burdock-like dock; high oxalates,,,,,,
Sheep Sorrel,Non-native,Herb,Caution,Tart edible leaves; lemonade-like drink; high oxalates; medicinal,,,,,,
Yellow Wood Sorrel,Non-native,Herb,Caution,Tart edible leaves; ornamental; high oxalates; common weed,,,,,,
Common Groundsel,Non-native,Herb,Poisonous,Toxic liver alkaloids; fast-cycling weed; bird seed plant,,,,,,
Bristly Oxtongue,Non-native,Herb,Edible,Edible young leaves (bitter); bee forage; coastal weed,,,,,,
Cat's Ear,Non-native,Herb,Edible,Edible dandelion-like leaves & roots; bee forage; lawn weed,,,,,,
Crabgrass,Non-native,Grass,Edible,Seeds edible; soil binder; lawn weed; heat-tolerant,,,,,,
Barnyardgrass,Non-native,Grass,Edible,Seeds edible; bird forage; wetland weed; fast growing,,,,,,
Johnsongrass,Non-native,Grass,Caution,Invasive; HCN in wilted leaves toxic to livestock; hard to control,,,,,,
Smilo Grass,Non-native,Grass,Not edible,Invasive bunchgrass; displaces natives; dry slope weed,,,,,,
Jimsonweed,Non-native,Herb,Poisonous,HIGHLY toxic; ornamental nocturnal flowers; hallucinogenic; invasive,,,,,,
Tree Tobacco,Non-native,Shrub,Poisonous,Highly toxic; hummingbird nectar (toxic to others); invasive shrub,,,,,,
Common Tobacco,Non-native,Herb,Poisonous,Toxic alkaloids; historical commercial crop; hummingbird plant,,,,,,
Purple Loosestrife,Non-native,Herb,Not edible,Invasive wetland; beautiful but destroys marsh habitat,,,,,,
Common Mullein,Non-native,Herb,Caution,"Medicinal leaves (ear oil, lung tea); torch plant; biennial weed",,,,,,
Moth Mullein,Non-native,Herb,Not edible,Ornamental roadside weed; biennial; not medicinal like common mullein,,,,,,
Horehound,Non-native,Herb,Caution,Medicinal cough drops; edible in small amounts; invasive weed,,,,,,
Common Plantain,Non-native,Herb,Edible,Edible nutritious leaves; wound-healing medicinal; lawn weed,,,,,,
Narrow-leaf Plantain,Non-native,Herb,Edible,Edible young leaves; medicinal; bee forage; lawn weed,,,,,,
Spotted Spurge,Non-native,Herb,Poisonous,Toxic milky sap; lawn weed; skin irritant; hard to control,,,,,,
Prostrate Spurge,Non-native,Herb,Poisonous,Toxic milky sap; mat-forming weed; skin & eye irritant,,,,,,
Castor Bean,Non-native,Shrub,Poisonous,HIGHLY toxic seeds (ricin); ornamental foliage; invasive riparian,,,,,,
Storksbill,Non-native,Herb,Edible,Edible young leaves; corkscrew awns; common lawn weed,,,,,,
Red Clover,Non-native,Herb,Edible,Edible flowers & leaves; medicinal; nitrogen fixer; bee forage,,,,,,
White Clover,Non-native,Herb,Edible,Edible flowers; nitrogen fixer; lawn companion; bee forage,,,,,,
Bur Clover,Non-native,Herb,Caution,Burs tangle in fur; nitrogen fixer; winter annual weed,,,,,,
Black Medic,Non-native,Herb,Edible,Edible seeds & leaves; nitrogen fixer; clover-like weed,,,,,,
Yellow Sweet Clover,Non-native,Herb,Caution,Medicinal; bee forage (excellent honey); anticoagulant if moldy,,,,,,
Common Vetch,Non-native,Vine,Caution,Nitrogen fixer; seeds mildly toxic; cover crop; wildlife forage,,,,,,
Hairy Vetch,Non-native,Vine,Caution,Nitrogen fixer; cover crop; bee forage; seeds mildly toxic,,,,,,
Alfalfa,Non-native,Herb,Edible,Nutritious edible sprouts; hay crop; nitrogen fixer; bee forage,,,,,,
Pink Oxalis,Non-native,Herb,Caution,"Edible (tart, high oxalates); ornamental bulb; invasive garden weed",,,,,,
Poison Hemlock,Non-native,Herb,Poisonous,DEADLY toxic; resembles edible plants; invasive; avoid all contact,,,,,,
Wild Carrot,Non-native,Herb,Caution,Edible root; ancestor of carrot; resembles toxic hemlock - caution,,,,,,
Pineapple Weed,Non-native,Herb,Edible,Edible pineapple-scented flowers; tea; medicinal; path-side weed,,,,,,
Common Chamomile,Non-native,Herb,Edible,Edible tea flowers; medicinal relaxant; fragrant lawn companion,,,,,,
Mayweed,Non-native,Herb,Caution,Medicinal; strong-smelling; skin irritant; chamomile look-alike,,,,,,
Silver Wattle,Non-native,Tree,Not edible,Invasive; tannin source; ornamental; fire hazard; fast growing,,,,,,
Bailey's Acacia,Non-native,Tree,Not edible,Invasive ornamental; yellow pom-pom flowers; fire hazard,,,,,,
Brazilian Pepper Tree,Non-native,Tree,Poisonous,Invasive; toxic berries; skin irritant (pepper family); hard to remove,,,,,,
California Pepper Tree,Non-native,Tree,Caution,Ornamental shade tree; pink berries used as pepper; skin irritant,,,,,,
European Olive,Non-native,Tree,Edible,Edible cured fruit; oil production; ornamental; can naturalize,,,,,,
Oleander,Non-native,Shrub,Poisonous,HIGHLY toxic all parts; ornamental hedge; highway planting; fragrant,,,,,,
Lantana,Non-native,Shrub,Poisonous,Toxic berries; ornamental; butterfly nectar; invasive in mild climates,,,,,,
Bougainvillea,Non-native,Vine,Caution,Ornamental thorny vine; thorns cause injury; drought-tolerant,,,,,,
Field Bindweed,Non-native,Vine,Caution,Invasive; hard to eradicate; morning glory flowers; deep roots,,,,,,
Morning Glory (Bindweed),Non-native,Vine,Caution,Ornamental invasive; seeds toxic; twining garden vine,,,,,,
Dodder (Field),Non-native,Vine,Not edible,Parasitic vine; smothers host plants; invasive; no chlorophyll,,,,,,
Fountain Grass,Non-native,Grass,Not edible,Invasive ornamental; fire hazard; displaces native plants,,,,,,
African Lovegrass,Non-native,Grass,Not edible,Invasive; fire hazard; displaces native grasses,,,,,,
Veldt Grass,Non-native,Grass,Not edible,Invasive; fire hazard; South African origin; dry slope weed,,,,,,
Common Fig (Feral),Non-native,Tree,Edible,Edible fruit; wildlife food; riparian invasive; ornamental,,,,,,
Tree Mallow,Non-native,Herb,Edible,Edible leaves & flowers; ornamental; coastal weed; bee forage,,,,,,
Pride of Madeira,Non-native,Shrub,Not edible,Ornamental coastal shrub; bee forage; can naturalize; blue spires,,,,,,
Spanish Broom,Non-native,Shrub,Poisonous,Invasive; toxic seeds; fire hazard; ornamental yellow flowers,,,,,,
French Broom,Non-native,Shrub,Poisonous,Highly invasive; toxic; fire hazard; hard to eradicate; nitrogen fixer,,,,,,
Scotch Broom,Non-native,Shrub,Poisonous,Highly invasive; toxic; fire hazard; hard to eradicate,,,,,,
Gorse,Non-native,Shrub,Not edible,Invasive spiny shrub; fire hazard; impenetrable thickets,,,,,,
Australian Saltbush,Non-native,Shrub,Edible,Edible salty leaves; drought-tolerant; erosion control; ornamental,,,,,,
Russian Olive,Non-native,Tree,Edible,Edible fruit; wildlife food; invasive riparian; silver foliage,,,,,,
White Mulberry,Non-native,Tree,Edible,Edible berries; silkworm host; invasive urban tree; wildlife food,,,,,,
Common Hawthorn,Non-native,Tree,Edible,Edible berries (haws); medicinal heart tonic; wildlife; hedging,,,,,,
London Plane Tree,Non-native,Tree,Not edible,Street tree; pollution-tolerant; ornamental bark; wildlife,,,,,,
Canary Island Pine,Non-native,Tree,Not edible,Ornamental street tree; fire-adapted; drought-tolerant,,,,,,
Italian Cypress,Non-native,Tree,Not edible,Ornamental architectural tree; cemetery planting; windbreak,,,,,,
Artichoke,Non-native,Herb,Edible,Edible flower buds; ornamental silvery foliage; bee forage,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
